Place Name,State,District,City,img_source,Link,dominant_topic,probability
Magic Planet Theme Park,Kerala,,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/0e/e5/74/da/main-entry-point.jpg,https://www.tripadvisor.in/Attraction_Review-g297637-d7350881-Reviews-Magic_Planet_Theme_Park-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District.html,Wildlife/Forests/National Parks,0.5
City Palace of Udaipur,Rajasthan,Udaipur District,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/15/2b/f0/f7/img-20181018-104236-01.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d324469-Reviews-City_Palace_of_Udaipur-Udaipur_Udaipur_District_Rajasthan.html,Palace/Forts/Ancient Buildings,0.7
Bagore Ki Haveli Museum,Rajasthan,Udaipur District,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/01/50/7e/bf/bagore-ki-haveli.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d1206646-Reviews-Bagore_Ki_Haveli_Museum-Udaipur_Udaipur_District_Rajasthan.html,Museums/Indian Culture & History,0.62
Pacific Art,Rajasthan,Udaipur District,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/15/11/e5/12/miss-you-bro.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d15109665-Reviews-Pacific_Art-Udaipur_Udaipur_District_Rajasthan.html,Museums/Indian Culture & History,0.41
Gothwal Art,Rajasthan,Udaipur District,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/05/fe/d1/e8/gothwal-art.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d6217815-Reviews-Gothwal_Art-Udaipur_Udaipur_District_Rajasthan.html,Museums/Indian Culture & History,0.67
Lake Pichola,Rajasthan,Udaipur District,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/08/6d/15/e3/udaipur.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d1491020-Reviews-Lake_Pichola-Udaipur_Udaipur_District_Rajasthan.html,Riverbank/Pilgrimage,0.56
Animal Aid Unlimited,Rajasthan,,Udaipur,https://media-cdn.tripadvisor.com/media/photo-s/10/2c/13/f5/calf-feeding.jpg,https://www.tripadvisor.in/Attraction_Review-g297672-d12501287-Reviews-Animal_Aid_Unlimited-Udaipur_Udaipur_District_Rajasthan.html,Wildlife/Forests/National Parks,0.83
Kapu Beach,Karnataka,Udupi District,Udupi,https://media-cdn.tripadvisor.com/media/photo-s/0e/4e/7b/22/kapu-beach.jpg,https://www.tripadvisor.in/Attraction_Review-g737164-d3473449-Reviews-Kapu_Beach-Udupi_Udupi_District_Karnataka.html,Beach/Seashores,0.64
Shree Mahakaleshwar Temple,Madhya Pradesh,Ujjain District,Ujjain,https://media-cdn.tripadvisor.com/media/photo-s/05/5a/b7/a6/mahakaleshwar-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g679024-d3605858-Reviews-Shree_Mahakaleshwar_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html,Temples/Church/Worship,0.92
Sandipani Ashram,Madhya Pradesh,,Ujjain,https://media-cdn.tripadvisor.com/media/photo-s/0e/50/ff/14/at-sandipani-ashram.jpg,https://www.tripadvisor.in/Attraction_Review-g679024-d3733063-Reviews-Sandipani_Ashram-Ujjain_Ujjain_District_Madhya_Pradesh.html,Temples/Church/Worship,0.46
